Record,PRD (%),WWPRD (%),SNR_in (dB),SNR_out (dB),SNR_improvement (dB),CR,QS
100,29.836550693511963,22.688666414657877,6.0955183429270985,10.927574071884155,4.832055728957057,22.0,73.73506484040045
101,32.89371591091156,25.000977476852697,6.514866660796105,10.342540904581547,3.8276742437854416,22.0,66.88207577272267
102,30.857297472953796,27.798394358260225,6.0689443293400105,10.653985785841941,4.585041456501931,22.0,71.29593905390725
103,27.796251974105836,21.31442659520397,6.586489503905177,11.707511193752289,5.121021689847112,22.0,79.14736137985275
104,44.26095979690552,45.69377160481992,6.31552385263145,7.54022332251072,1.22469946987927,22.0,49.70520318797542
105,30.68591609477997,29.27505578336146,5.821238709632308,11.022636864185333,5.201398154553026,22.0,71.6941281206933
106,43.97164447784424,41.78841270457265,6.0154861146211625,8.087629604041576,2.072143489420413,22.0,50.032242963041845
107,30.186711974143982,27.268343776616348,6.035529979020357,11.16514994084835,5.129619961827993,22.0,72.87974927128136
108,47.38237283706665,50.86711501264306,6.445266706570983,7.104991097450256,0.6597243908792727,22.0,46.43076883391046
109,27.09711030483246,26.71689800962695,6.370030449032783,12.090483230948449,5.720452781915665,22.0,81.18946910762124
111,45.118853940963746,41.16374843364964,6.037644319832325,7.4391412810236215,1.4014969611912962,22.0,48.76010376678924
112,37.46098316192627,29.874402798105837,6.147425761595368,9.049820210933685,2.902394449338317,22.0,58.727769917047596
113,30.07316556930542,22.600160473220193,6.5883582447469236,10.991930123567581,4.4035718788206575,22.0,73.15491928942323
114,45.78189326286316,43.62751134517976,6.449676010776312,7.304006622582674,0.854330611806362,22.0,48.05393231268073
115,33.34906326770783,19.18017070401412,6.1638973398506645,10.35449948310852,4.190602143257856,22.0,65.96886942039772
116,41.81520058631897,40.70572546646297,5.74032009284012,9.256151135413674,3.515831042573554,22.0,52.61244641069096
117,41.03036305427551,32.23033646771766,6.773904732763767,8.24561371743679,1.4717089846730227,22.0,53.61882850243881
118,35.263773431777956,31.263349401484238,6.157074618563056,9.596012378931045,3.438937760367989,22.0,62.38697070397661
119,36.97393646240234,34.022385730962014,6.888853172436357,9.389561675488949,2.500708503052592,22.0,59.501373413055774
121,42.718176488876345,38.81504276532663,6.268839643262327,8.02183606594801,1.7529964226856833,22.0,51.50032564177621
122,24.306564865112303,20.981844923920566,6.01208124095574,12.84059220314026,6.828510962184519,22.0,90.51052718509409
123,26.70404800891876,20.13661225119805,6.289898084551096,11.952599006891251,5.662700922340155,22.0,82.38451336161589
124,34.649572043418885,28.356338863560868,6.24395170873031,9.878037649989128,3.6340859412588182,22.0,63.49284768202076
200,47.43877232551575,48.78246412809573,6.289117160057649,7.482249150108546,1.1931319900508974,22.0,46.375567750868896
201,32.946784038543704,32.08710626849891,6.3926614198088645,10.554330338686704,4.161668918877839,22.0,66.77434730583323
202,32.586193571090696,27.823800946192716,6.604487821608782,10.475965999364853,3.871478177756071,22.0,67.51325512138862
203,44.62136281967163,46.28631856836403,6.536860613599419,7.8000086015462875,1.2631479879468683,22.0,49.30373841092354
205,29.6747483587265,21.861715265149588,5.904278592169285,11.098012787364423,5.193734195195138,22.0,74.1371071931278
207,48.40301031112671,46.253079392117726,5.867292498126626,7.51941637635231,1.6521238782256837,22.0,45.45171851624014
208,34.64787515640259,31.4447918875658,6.006138466801494,10.379251515865326,4.373113049063831,22.0,63.495957257669275
209,35.209823789596555,25.141555434569817,6.228105359748006,9.595402334332466,3.36729697458446,22.0,62.48256205843421
210,30.5015194272995,27.522971718057732,6.083056360334158,10.903219896554948,4.8201635362207895,22.0,72.12755434179957
212,37.11636321544647,30.511220018808636,6.332893213368952,9.111215557456017,2.778322344087065,22.0,59.27304858048271
213,33.75465506076813,27.181601188068615,5.37986087073572,9.90953379869461,4.529672927958891,22.0,65.17619558070922
214,27.85874825000763,26.525009905775388,6.235053296638653,11.720821118354797,5.485767821716144,22.0,78.96980798480051
215,35.930333833694455,32.79371758185596,6.168796353042126,9.409189481735229,3.2403931286931034,22.0,61.229600876596976
217,31.58308192253113,28.758649979892716,6.297563292086124,11.027731058895588,4.730167766809464,22.0,69.65754657497617
219,37.67014787197113,30.87308398059558,6.624547751955688,9.198913280814885,2.5743655288591976,22.0,58.40168208197911
220,24.862200965881346,16.4918511656341,5.828459238149225,12.823829970359803,6.995370732210578,22.0,88.48774100969914
221,29.28833399772644,24.68661952173572,6.389411027375608,11.324018222764135,4.934607195388526,22.0,75.11523189303901
222,53.93972819328308,48.2777258496236,5.528681772239506,6.020932204946876,0.4922504327073698,22.0,40.786264107907726
223,31.098905081748963,28.78237470212609,6.212964151911438,11.232223336063326,5.019259184151888,22.0,70.74204041000516
228,67.63078186988831,70.89735710450461,6.327846405245364,4.124003802314401,-2.203842602930963,22.0,32.52956625922907
230,32.05100680351257,24.713897273735157,6.29239971075207,10.661323797702789,4.368924086950718,22.0,68.64058946687737
231,30.68646059513092,21.17838037887076,6.290851253271103,10.836225227117538,4.545373973846435,22.0,71.69285598056487
232,53.016884179115294,58.49338417477071,6.237457305639982,7.518356787711382,1.2808994820714004,22.0,41.49621453738008
233,30.85652247905731,27.23359903872183,6.222640628367662,10.889218425154686,4.666577796787024,22.0,71.2977297261273
234,32.51255327224732,23.846549209878994,5.567585113793611,10.55708315372467,4.98949803993106,22.0,67.6661713270584
